image_id,lighting_detected,algorithm,TP,TN,FP,FN,precision,recall,f1_score,accuracy,processing_time_sec
CAMPUS_ACADEMIC_001,normal,sobel,3154,34988,439533,2325,0.0071,0.5757,0.0141,0.0795,0.014
CAMPUS_ACADEMIC_001,normal,prewitt,3549,44273,430248,1930,0.0082,0.6477,0.0162,0.0996,0.008
CAMPUS_ACADEMIC_001,normal,laplacian,5279,17981,456540,200,0.0114,0.9635,0.0226,0.0485,0.009
CAMPUS_ACADEMIC_001,normal,canny,768,42365,432156,4711,0.0018,0.1402,0.0035,0.0899,0.00502
CAMPUS_ACADEMIC_001,normal,fusion,1716,41972,432549,3763,0.004,0.3132,0.0078,0.091,0.00967
CAMPUS_CLEAN_007,normal,sobel,0,25255,454745,0,0.0,0.0,0.0,0.0526,0.013
CAMPUS_CLEAN_007,normal,prewitt,0,24816,455184,0,0.0,0.0,0.0,0.0517,0.007
CAMPUS_CLEAN_007,normal,laplacian,0,18328,461672,0,0.0,0.0,0.0,0.0382,0.009
CAMPUS_CLEAN_007,normal,canny,0,50967,429033,0,0.0,0.0,0.0,0.1062,0.003
CAMPUS_CLEAN_007,normal,fusion,0,50828,429172,0,0.0,0.0,0.0,0.1059,0.00933
CAMPUS_COMPOUND_006,shadow_uneven,sobel,3275,19197,457528,0,0.0071,1.0,0.0141,0.0468,0.01458
CAMPUS_COMPOUND_006,shadow_uneven,prewitt,3275,22887,453838,0,0.0072,1.0,0.0142,0.0545,0.00724
CAMPUS_COMPOUND_006,shadow_uneven,laplacian,3275,6025,470700,0,0.0069,1.0,0.0137,0.0194,0.00959
CAMPUS_COMPOUND_006,shadow_uneven,canny,3215,43447,433278,60,0.0074,0.9817,0.0146,0.0972,0.00502
CAMPUS_COMPOUND_006,shadow_uneven,fusion,3275,40946,435779,0,0.0075,1.0,0.0148,0.0921,0.01021
CAMPUS_CORRIDOR_005,normal,sobel,2882,37261,439857,0,0.0065,1.0,0.0129,0.0836,0.01559
CAMPUS_CORRIDOR_005,normal,prewitt,2882,48323,428795,0,0.0067,1.0,0.0133,0.1067,0.0071
CAMPUS_CORRIDOR_005,normal,laplacian,2882,19262,457856,0,0.0063,1.0,0.0124,0.0461,0.00875
CAMPUS_CORRIDOR_005,normal,canny,2882,44481,432637,0,0.0066,1.0,0.0131,0.0987,0.004
CAMPUS_CORRIDOR_005,normal,fusion,2882,44044,433074,0,0.0066,1.0,0.0131,0.0978,0.01049
CAMPUS_HOSTEL_002,shadow_uneven,sobel,1120,16207,462673,0,0.0024,1.0,0.0048,0.0361,0.01597
CAMPUS_HOSTEL_002,shadow_uneven,prewitt,1120,19965,458915,0,0.0024,1.0,0.0049,0.0439,0.007
CAMPUS_HOSTEL_002,shadow_uneven,laplacian,1120,8090,470790,0,0.0024,1.0,0.0047,0.0192,0.012
CAMPUS_HOSTEL_002,shadow_uneven,canny,1120,45008,433872,0,0.0026,1.0,0.0051,0.0961,0.004
CAMPUS_HOSTEL_002,shadow_uneven,fusion,1120,41309,437571,0,0.0026,1.0,0.0051,0.0884,0.01
CAMPUS_PARKING_004,normal,sobel,3527,474337,2136,0,0.6228,1.0,0.7676,0.9956,0.01334
CAMPUS_PARKING_004,normal,prewitt,3527,474299,2174,0,0.6187,1.0,0.7644,0.9955,0.00727
CAMPUS_PARKING_004,normal,laplacian,3527,109609,366864,0,0.0095,1.0,0.0189,0.2357,0.00942
CAMPUS_PARKING_004,normal,canny,3527,435876,40597,0,0.0799,1.0,0.148,0.9154,0.00202
CAMPUS_PARKING_004,normal,fusion,3527,434724,41749,0,0.0779,1.0,0.1445,0.913,0.00963
CAMPUS_STAIR_003,dark,sobel,2583,18417,459000,0,0.0056,1.0,0.0111,0.0437,0.01546
CAMPUS_STAIR_003,dark,prewitt,2583,24130,453287,0,0.0057,1.0,0.0113,0.0557,0.00827
CAMPUS_STAIR_003,dark,laplacian,2583,12662,464755,0,0.0055,1.0,0.011,0.0318,0.01058
CAMPUS_STAIR_003,dark,canny,2548,2077,475340,35,0.0053,0.9864,0.0106,0.0096,0.00623
CAMPUS_STAIR_003,dark,fusion,2553,1968,475449,30,0.0053,0.9884,0.0106,0.0094,0.0095
TEST_001,normal,sobel,4065,474109,902,924,0.8184,0.8148,0.8166,0.9962,0.015
TEST_001,normal,prewitt,4074,474092,919,915,0.8159,0.8166,0.8163,0.9962,0.008
TEST_001,normal,laplacian,4985,40890,434121,4,0.0114,0.9992,0.0225,0.0956,0.00852
TEST_001,normal,canny,4989,475011,0,0,1.0,1.0,1.0,1.0,0.00101
TEST_001,normal,fusion,4989,474132,879,0,0.8502,1.0,0.919,0.9982,0.01065
